CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
409016212,12/08/2015,10:00:00,12/22/2015,21:00:00,12/24/2015,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,995086,222247,40.776694559,-73.960876918,"(40.776694559, -73.960876918)"
454971258,12/07/2015,10:00:00,12/10/2015,11:10:00,12/24/2015,109,GRAND LARCENY,426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,1017568,238898,40.822340826,-73.879620713,"(40.822340826, -73.879620713)"
172409561,12/03/2015,16:00:00,12/03/2015,16:05:00,12/24/2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1009260,248483,40.848676301,-73.909602455,"(40.848676301, -73.909602455)"
926211919,12/03/2015,01:40:00,12/03/2015,01:43:00,12/24/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,DRUG STORE,,,989136,218534,40.766508632,-73.982362725,"(40.766508632, -73.982362725)"
458998652,12/01/2015,20:00:00,,,12/24/2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,52,INSIDE,RESIDENCE - APT. HOUSE,,,1018505,257914,40.874530506,-73.876138109,"(40.874530506, -73.876138109)"
589478875,12/01/2015,07:00:00,12/23/2015,12:00:00,12/24/2015,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106,INSIDE,OTHER,,,1027989,185717,40.67632718,-73.842314716,"(40.67632718, -73.842314716)"
945775682,12/01/2015,05:00:00,,,12/24/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,1017347,241610,40.82978532,-73.880405826,"(40.82978532, -73.880405826)"
515540653,12/01/2015,00:01:00,12/24/2015,11:30:00,12/24/2015,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,23,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1000866,226632,40.788721243,-73.939996774,"(40.788721243, -73.939996774)"
438240448,12/01/2015,00:00:00,12/24/2015,22:35:00,12/24/2015,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,83,,PARK/PLAYGROUND,MARIA HERNANDEZ PARK,,1005354,195028,40.701966627,-73.923888612,"(40.701966627, -73.923888612)"
382951482,12/01/2015,00:00:00,12/24/2015,21:00:00,12/24/2015,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,83,OPPOSITE OF,COMMERCIAL BUILDING,,,1005193,196552,40.70615003,-73.924464529,"(40.70615003, -73.924464529)"
